2026-07-16 14:28:35.896 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl createCspConnectionInternal) Creating new connection with key=216.221.209.61:7022 mapped to cspEventReactor=CspEventReactor-Agent-0, connectionRetryLimit=5, connectionTimeoutInMillis=5000, readTimeout=5000 
2026-07-16 14:28:35.897 INFO    [API-MasterThread] (com.theice.cfapi.net.FieldDictionary <init>) Setting up FieldDictionary and bootstraping CDD, fdCounter val: 1 
2026-07-16 14:28:35.898 INFO    [API-MasterThread] (com.theice.cfapi.session.ConnectionConfig getLocalIp) No Local NAT address found for 216.221.209.61 
2026-07-16 14:28:35.913 INFO    [API-MasterThread] (com.theice.cfapi.session.ConnectionConfig getCsplIp) No CSP NAT address found for 216.221.209.61 
2026-07-16 14:28:35.913 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcConnection <init>) Created new IDC connection with id: 216.221.209.61:7022 mapped to cspAddress: 216.221.209.61:7022 
2026-07-16 14:28:35.915 INFO    [API-MasterThread] (com.theice.cfapi.net.CircularByteBuffer <init>) 216.221.209.61:7022 - Created CircularByteBuffer: slabSize=1048576 bytes, maxMessages=10485, total memory=1132456 bytes 
2026-07-16 14:28:35.915 INFO    [API-MasterThread] (com.theice.cfapi.net.CircularQueue <init>) 216.221.209.61:7022 - Creating a queue with capacity for 10485 messages and max size 1048576 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcConnectionCompress <init>) Created new IDC connection 216.221.209.61:7022 with compression. 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl addTofirstCspClientLst) Adding FirstCspClient with 216.221.209.61:7022 id at 0 index in the firstCspClient List. 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl createCspConnectionInternal) Mapping firstCspClient to connection with id=216.221.209.61:7022, cspAddress=216.221.209.61:7022 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl startWorkerThreads) startWorkerThreads: creating dummy CSP for local commands 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.FieldDictionary <init>) Setting up FieldDictionary and bootstraping CDD, fdCounter val: 2 
2026-07-16 14:28:35.917 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.EventReactorThread regTimer) Registering com.theice.cfapi.net.CspEventReactorManager$CSPOneSecIntervalTimer with CspEventReactor-Agent-0 worker. 
2026-07-16 14:28:35.917 INFO    [API-MasterThread] (com.theice.cfapi.net.CircularByteBuffer <init>) nonCsp:0 - Created CircularByteBuffer: slabSize=1048576 bytes, maxMessages=10485, total memory=1132456 bytes 
2026-07-16 14:28:35.917 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.EventReactorThread regTimer) Registering com.theice.cfapi.net.CspEventReactorManager$CSPHundredMilliSecondEvents with CspEventReactor-Agent-0 worker. 
2026-07-16 14:28:35.917 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.EventReactorThread regTimer) Registering com.theice.cfapi.net.UserEventReactorManager$UserOneSecIntervalTimer with UserEventReactorAgent - 0 worker. 
2026-07-16 14:28:35.917 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.EventReactorThread regTimer) Registering com.theice.cfapi.net.CspEventReactorManager$CSPTwentyFiveMilliSecondEvents with CspEventReactor-Agent-0 worker. 
2026-07-16 14:28:35.917 INFO    [API-MasterThread] (com.theice.cfapi.net.CircularQueue <init>) nonCsp:0 - Creating a queue with capacity for 10485 messages and max size 1048576 
2026-07-16 14:28:35.917 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.CspEventReactorThread run) Starting CspEventReactor-Agent-0. 
2026-07-16 14:28:35.917 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.EventReactorThread regTimer) Registering com.theice.cfapi.net.UserEventReactorManager$FirstUserHundredMilliSecIntervalTimer with UserEventReactorAgent - 0 worker. 
2026-07-16 14:28:35.918 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.GetServerIpFromCme initializeDBCApi[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) Initializing Dbcapi - DbcInitializeEx2 
2026-07-16 14:28:35.918 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl startWorkerThreads) startWorkerThreads(EXIT): startBackup=false; cspClientsCreated=1, failoverEnabled=true 
2026-07-16 14:28:35.918 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.EventReactorThread regTimer) Registering com.theice.cfapi.net.UserEventReactorManager$FirstUserTwentyFiveMilliSecondEvents with UserEventReactorAgent - 0 worker. 
2026-07-16 14:28:35.918 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.EventReactorThread regTimer) Registering com.theice.cfapi.net.UserEventReactorManager$UserHundredMilliSecIntervalTimer with UserEventReactorAgent - 0 worker. 
2026-07-16 14:28:35.918 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.UserEventReactorAgent run) Starting UserEventReactorAgent - 0 
2026-07-16 14:28:35.919 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcSessionImpl checkStatisticsEvents[1784233715918~UserOneSecTimer-*~1784233715918]) MSGS_IN --> 0; MSGS_OUT --> 0; NET_MSGS_OUT --> 0; DROP --> 0; CSP_DROP --> 0; PCT_FULL=0/0; IN_MSGS/SEC(100ms)=0/0 IN_MSGS/SEC(1sec)=0/0; OUT_MSGS/SEC(100ms)=0/0 OUT_MSGS/SEC(1sec)=0/0; NET_OUT_MSGS/SEC(100ms)=0/0 NET_OUT_MSGS/SEC(1sec)=0/0 
